4839|3.07|1
4839|4.67|2
4839|2.59|3
4839|5.10|4
4840|1.05|1
4840|0.855|2
4840|1.50|3
4840|1.31|4
4841|3.56|1
4841|8.49|2
4841|5.47|3
4841|7.50|4
4842|6.86|1
4842|5.51|2
4842|6.27|3
4842|3.61|4
4843|2.31|1
4843|1.75|2
4843|3.12|3
4843|4.29|4
4844|1.31|1
4844|1.80|2
4844|1.58|3
4844|2.22|4
4845|2.71|1
4845|3.43|2
4845|2.03|3
4845|2.21|4
4846|6.98|1
4846|5.13|2
4846|3.20|3
4846|3.08|4
4847|1.86|1
4847|1.32|2
4847|1.25|3
4847|2.55|4
4848|2.26|1
4848|2.12|2
4848|2.64|3
4848|1.40|4
4849|1.72|1
4849|1.14|2
4849|1.70|3
4849|2.38|4
4850|18.1|1
4850|20.8|2
4850|8.94|3
4850|14.2|4
4851|19.7|1
4851|19.9|2
4851|22.8|3
4851|11.1|4
4852|9.65|1
4852|17.8|2
4852|23.7|3
4852|16.0|4
4853|10.3|1
4853|20.4|2
4853|15.0|3
4853|8.95|4
4854|1.06|1
4854|2.74|2
4854|1.12|3
4854|1.40|4
4855|1.53|1
4855|1.68|2
4855|2.92|3
4855|2.81|4
4856|1.28|1
4856|1.37|2
4856|0.953|3
4856|1.03|4
4857|21.9|1
4857|15.1|2
4857|9.42|3
4857|10.4|4
4858|3.20|1
4858|2.66|2
4858|1.83|3
4858|2.18|4
4859|15.0|1
4859|14.3|2
4859|9.05|3
4859|18.2|4
4860|19.0|1
4860|17.8|2
4860|19.2|3
4860|7.76|4
4861|10.3|1
4861|9.73|2
4861|17.1|3
4861|17.3|4
4862|15.0|1
4862|8.54|2
4862|12.8|3
4862|16.0|4
4863|23.0|1
4863|18.6|2
4863|25.8|3
4863|14.0|4
4864|3.59|1
4864|4.64|2
4864|3.63|3
4864|8.29|4
4865|19.3|1
4865|18.7|2
4865|20.4|3
4865|13.0|4
4866|15.9|1
4866|26.8|2
4866|20.7|3
4866|24.8|4
4867|10.9|1
4867|9.86|2
4867|17.6|3
4867|21.0|4
4868|1.36|1
4868|2.51|2
4868|2.64|3
4868|1.41|4
4869|17.2|1
4869|9.71|2
4869|7.09|3
4869|12.8|4
4870|15.8|1
4870|15.5|2
4870|11.8|3
4870|17.9|4
4871|7.30|1
4871|5.18|2
4871|8.13|3
4871|9.46|4
4872|7.89|1
4872|11.0|2
4872|8.15|3
4872|5.23|4
4873|2.68|1
4873|2.26|2
4873|1.49|3
4873|2.31|4
4874|21.8|1
4874|22.3|2
4874|16.7|3
4874|25.3|4
4875|17.4|1
4875|21.4|2
4875|15.5|3
4875|21.0|4
4876|13.8|1
4876|16.4|2
4876|14.5|3
4876|10.9|4
4877|9.68|1
4877|16.0|2
4877|9.76|3
4877|19.8|4
4878|4.96|1
4878|4.46|2
4878|11.8|3
4878|5.64|4
4879|13.4|1
4879|19.9|2
4879|14.1|3
4879|21.7|4
4880|4.23|1
4880|6.19|2
4880|5.95|3
4880|7.27|4
4881|7.98|1
4881|8.29|2
4881|5.22|3
4881|3.51|4
4882|3.00|1
4882|4.70|2
4882|2.77|3
4882|5.19|4
4883|1.54|1
4883|4.01|2
4883|2.24|3
4883|1.76|4
4884|1.93|1
4884|1.46|2
4884|3.38|3
4884|2.94|4
4885|20.0|1
4885|17.6|2
4885|18.1|3
4885|21.0|4
4886|2.33|1
4886|2.69|2
4886|1.36|3
4886|1.50|4
4887|2.57|1
4887|1.44|2
4887|1.62|3
4887|2.18|4
4888|5.80|1
4888|3.92|2
4888|5.19|3
4888|10.0|4
4889|16.2|1
4889|21.8|2
4889|19.7|3
4889|23.4|4
4890|10.3|1
4890|6.13|2
4890|9.55|3
